RecipeID,profileID,Rate
7749,1153011,5.0
7749,2713558,5.0
7749,689291,5.0
7749,212593,5.0
7749,2379619,5.0
7749,1459908,5.0
7749,2313135,3.0
7749,782108,4.0
7749,2389691,5.0
7749,1153276,1.0
7749,4512525,5.0
7749,610783,5.0
7749,3901020,4.0
7749,2309128,5.0
7749,798632,5.0
7749,8734658,5.0
7749,2096380,5.0
7749,1487869,4.0
7749,3078237,5.0
7749,2880604,5.0
7749,998593,4.0
7749,690149,5.0
7749,5613092,5.0
7749,1806988,3.0
7749,3177868,5.0
7749,4590553,5.0
7749,1247508,4.0
7749,721054,3.0
7749,3223316,5.0
7749,7681887,5.0
7749,5982635,5.0
7749,331502,3.0
7749,5089245,5.0
7749,1401968,3.0
7749,4206185,5.0
7749,1552065,5.0
7749,3262477,5.0
7749,4114060,4.0
7749,3166070,3.0
7749,4049462,4.0
7749,1831290,5.0
7749,1063820,3.0
7749,675433,5.0
7749,362603,3.0
7749,195491,4.0
7749,71882,5.0
7749,384956,5.0
7749,297297,5.0
7749,837840,5.0
7749,2911276,4.0
7749,2413069,5.0
7749,7858317,1.0
7749,1405774,5.0
7749,2400281,2.0
7749,1493668,3.0
7749,1815476,5.0
7749,6175880,4.0
7749,4507058,5.0
7749,3466571,2.0
7749,1073925,4.0
7749,1028250,5.0
7749,3341648,5.0
7749,4180649,5.0
7749,2922305,5.0
7749,339673,5.0
7749,1681876,5.0
7749,3933473,5.0
7749,2967134,4.0
7749,2759612,5.0
7749,646972,4.0
7749,1669465,5.0
7749,1758004,5.0
7749,1004528,5.0
7749,649161,5.0
7749,461773,4.0
7749,455098,4.0
7749,243813,4.0
7749,20717594,5.0
7749,11428954,1.0
7749,8712818,5.0
7749,3793440,5.0
7749,8618036,5.0
7749,2523195,5.0
7749,4992225,4.0
7749,6987727,5.0
7749,5303206,5.0
7749,5205425,4.0
7749,650231,3.0
7749,7277411,5.0
7749,5228455,5.0
7749,2939484,4.0
7749,2932095,5.0
7749,4410948,5.0
7749,2174326,5.0
7749,1154384,4.0
7749,1229781,5.0
7749,2178953,5.0
7749,3762303,4.0
7749,2130095,4.0
7749,1352329,5.0
7749,2242468,4.0
7749,213044,5.0
7749,1032812,4.0
7749,3197167,4.0
7749,3049522,5.0
7749,879330,4.0
7749,2501358,5.0
7749,1539038,5.0
7749,1638907,5.0
7749,1188572,5.0
7749,2077286,4.0
7749,854588,4.0
7749,724724,4.0
7749,1858014,5.0
7749,773172,5.0
7749,594225,3.0
7749,1153821,5.0
7749,1182241,5.0
7749,572035,5.0
7749,798766,5.0
7749,230407,4.0
7749,219910,5.0
7749,537650,5.0
7749,320585,5.0
7749,245352,5.0
7749,145192,4.0
7749,12767368,5.0
7749,1085128,5.0
7749,2984033,5.0
7749,132150,3.0
7749,23308160,5.0
7749,4552495,4.0
7749,7189729,4.0
7749,11259009,2.0
7749,6829542,5.0
7749,5336387,5.0
7749,13988146,3.0
7749,3344244,5.0
7749,13678039,5.0
7749,3549535,4.0
7749,14513191,5.0
7749,14383868,5.0
7749,5435618,4.0
7749,4797312,4.0
7749,445147,5.0
7749,8340903,5.0
7749,3401318,2.0
7749,3837544,5.0
7749,8965717,5.0
7749,4648553,2.0
7749,4012560,2.0
7749,4021505,4.0
7749,2366561,3.0
7749,1218566,3.0
7749,2047474,4.0
7749,1244528,5.0
7749,3073764,5.0
7749,2467174,5.0
7749,2472147,5.0
7749,2779087,4.0
7749,1486922,3.0
7749,2757225,5.0
7749,894198,5.0
7749,2469558,4.0
7749,2134654,5.0
7749,1489070,5.0
7749,2148532,5.0
7749,2232909,5.0
7749,1579215,4.0
7749,1722026,3.0
7749,1539720,4.0
7749,929371,5.0
7749,317442,5.0
7749,984787,5.0
7749,765010,5.0
7749,1784264,5.0
7749,1881718,5.0
7749,1553021,5.0
7749,871984,5.0
7749,1336703,5.0
7995,1530367,5.0
7995,1415982,4.0
7995,303790,5.0
7995,290121,5.0
7995,268713,4.0
7995,28786,4.0
7995,2775824,5.0
7995,3846881,4.0
7995,291178,4.0
7995,303442,2.0
7995,873504,5.0
7995,642029,5.0
7995,2000978,5.0
7995,2134134,5.0
7995,796893,5.0
7995,270084,5.0
7995,2861531,5.0
7995,701073,5.0
7995,7109489,5.0
7995,3959623,4.0
7995,4271500,5.0
7995,4479511,5.0
7995,2417067,5.0
7995,2253035,5.0
7995,195891,5.0
7995,1032812,4.0
7995,2664227,3.0
7995,2826389,5.0
7995,2149327,5.0
7995,2655169,5.0
7995,2572603,5.0
7995,2118548,4.0
7995,1470775,5.0
7995,830520,5.0
7995,600654,5.0
7995,9009608,5.0
7995,8664799,5.0
7995,8750761,5.0
7995,6762499,4.0
7995,8116634,5.0
7995,7586811,5.0
7995,1998934,5.0
7995,8011137,5.0
7995,6806588,4.0
7995,2079026,5.0
7995,2455994,5.0
7995,2121489,5.0
7995,1035136,4.0
7995,1091133,5.0
7995,2802560,5.0
7995,2312044,5.0
7995,1578150,5.0
7995,2423247,1.0
7995,1641161,5.0
7995,2114995,5.0
7995,1299578,5.0
7995,2206517,4.0
7995,661465,5.0
7995,376981,5.0
7995,4533845,5.0
7995,4002607,4.0
7995,3927257,5.0
7995,1081995,4.0
7995,3698880,5.0
7995,2678902,5.0
7995,3034111,4.0
7995,500485,5.0
7995,3153403,5.0
7995,3043947,5.0
7995,1432806,5.0
7995,2737197,5.0
7995,1495599,5.0
7995,1563253,5.0
7995,540485,3.0
7995,1337523,5.0
7995,2145181,5.0
7995,2223556,4.0
7995,2132845,5.0
7995,2062547,5.0
7995,1000633,5.0
7995,1892452,5.0
7995,1887467,5.0
7995,1833603,5.0
7995,856619,5.0
7995,271118,5.0
7995,1277589,2.0
7995,962885,4.0
7995,790203,5.0
7995,591268,5.0
7995,923934,5.0
7995,708009,5.0
7995,195528,5.0
7995,661498,4.0
7995,525481,5.0
7995,512952,1.0
7995,341352,5.0
7995,261069,5.0
7995,215060,4.0
7995,123892,3.0
7995,119816,5.0
7995,4968095,2.0
7995,23337171,5.0
7995,23946906,5.0
7995,14096431,5.0
7995,11466863,5.0
7995,13575627,5.0
7995,5385368,3.0
7995,22232959,5.0
7995,232089,3.0
7995,6280513,5.0
7995,1753074,4.0
7995,13652952,5.0
7995,18167562,5.0
7995,7768615,5.0
7995,2620702,5.0
7995,8324253,5.0
7995,1408752,5.0
7995,4578498,5.0
7995,10287305,3.0
7995,17751981,5.0
7995,4272440,3.0
7995,17320615,5.0
7995,2871880,5.0
7995,8654118,5.0
7995,14974156,5.0
7995,16215204,5.0
7995,4664937,5.0
7995,15923204,5.0
7995,15141823,5.0
7995,8063866,3.0
7995,9638748,4.0
7995,8169570,5.0
7995,14653241,4.0
7995,14388589,5.0
7995,13767762,5.0
7995,4469645,4.0
7995,6856285,5.0
7995,4687317,5.0
7995,4775077,5.0
7995,8492791,5.0
7995,2381778,4.0
7995,12310656,5.0
7995,3196616,5.0
7995,12437270,4.0
7995,8167570,4.0
7995,11846874,5.0
7995,9480702,5.0
7995,9220736,5.0
7995,3065261,5.0
7995,5217682,5.0
7995,6511329,5.0
7995,8663173,5.0
7995,7328827,5.0
7995,7944797,5.0
7995,4115927,5.0
7995,8045333,5.0
7995,9665464,5.0
7995,5505692,5.0
7995,6078544,5.0
7995,1537497,5.0
7995,7043519,5.0
7995,5629233,5.0
7995,5857449,4.0
7995,3005405,5.0
7995,3481190,5.0
7995,6344463,5.0
7995,4705004,5.0
7995,5462172,5.0
7995,3255440,4.0
7995,5086605,4.0
7995,4470714,5.0
7995,3053712,4.0
7995,2340691,4.0
7995,5034033,5.0
7995,4749653,5.0
7995,2996621,5.0
7995,4557416,5.0
7995,3031814,5.0
7995,3627698,5.0
7995,3926665,5.0
7995,2227125,5.0
7995,3887465,4.0
7995,2162720,4.0
7995,3204677,4.0
7995,3627842,4.0
7995,2398775,5.0
7995,3484087,4.0
7995,3174001,5.0
7995,2298559,5.0
7995,3318535,4.0
7995,2893614,5.0
7995,3518711,5.0
7995,3505978,4.0
7995,3222654,5.0
7995,1466506,4.0
7995,553573,5.0
7995,2702059,5.0
7995,2458394,3.0
7995,2377668,5.0
7995,139443,5.0
7995,1801978,5.0
7995,2306097,5.0
7995,1549374,5.0
7995,713444,3.0
7995,2053442,5.0
7995,2225980,5.0
7995,1980629,5.0
8370,2338231,5.0
8370,1153011,4.0
8370,240716,5.0
8370,1153559,5.0
8370,688347,5.0
8370,2635788,5.0
8370,1946219,4.0
8370,3273777,5.0
8370,957689,4.0
8370,1390502,1.0
8370,752954,2.0
8370,5112007,5.0
8370,798766,3.0
8370,6936963,3.0
8370,2761621,4.0
8370,2970503,5.0
8370,1672308,5.0
8370,593357,4.0
8370,929467,5.0
8370,1730569,5.0
8370,2193534,5.0
8370,639860,4.0
8370,902244,5.0
8370,163932,4.0
8370,85472,3.0
8370,11602,5.0
8370,9112680,5.0
8370,7106191,5.0
8370,7027699,4.0
8370,7082124,4.0
9160,1079451,4.0
9160,1079451,4.0
9160,4439015,4.0
9160,4439015,4.0
9160,1472793,4.0
9160,1472793,4.0
9160,3992846,5.0
9160,3992846,5.0
9160,1205601,5.0
9160,1205601,5.0
9160,882780,5.0
9160,882780,5.0
9160,701065,5.0
9160,701065,5.0
9160,4135053,5.0
9160,4135053,5.0
9160,3320524,5.0
9160,3320524,5.0
9160,15946325,5.0
9160,15946325,5.0
9160,1904744,5.0
9160,1904744,5.0
9160,6147021,5.0
9160,6147021,5.0
9330,857169,5.0
9330,1928867,5.0
9330,1420206,5.0
9330,291590,5.0
9330,1461191,5.0
9330,2225921,5.0
9330,1422995,5.0
9330,1807422,4.0
9330,291832,5.0
9330,2339458,5.0
9330,2126869,3.0
9330,268713,5.0
9330,1579933,5.0
9330,2573684,5.0
9330,2038729,5.0
9330,2837670,5.0
9330,3609004,5.0
9330,2476559,5.0
9330,907809,5.0
9330,2727413,5.0
9330,2093782,5.0
9330,5592069,4.0
9330,5761131,5.0
9330,5012173,5.0
9330,3080053,5.0
9330,5378447,5.0
9330,3753340,5.0
9330,3262074,5.0
9330,5928142,5.0
9330,568690,5.0
9330,1653218,5.0
9330,9195275,5.0
9330,3012817,5.0
9330,1597333,5.0
9330,6447109,5.0
9330,1312322,5.0
9330,1153011,4.0
9330,7064093,5.0
9330,4290149,5.0
9330,4826525,5.0
9330,3414607,5.0
9330,6355932,5.0
9330,4139780,5.0
9330,2479693,4.0
9330,2678151,5.0
9330,4322915,5.0
9330,2934442,5.0
9330,443495,5.0
9330,4424851,5.0
9330,5378118,5.0
9330,4386400,5.0
9330,5029376,5.0
9330,3466418,5.0
